"","X1","STATE","STATE.ABBREVIATION","DISTRICT","FEC.ID.","incumbent","candidate.first","candidate.last","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","year"
"1",2,"Alabama","AL","01","H2AL01077","(I)","Jo","Bonner","Bonner, Jo","","R","Unopposed","","","","210,660","98.27%","2008"
"3",4,"Alabama","AL","01","H8AL01058","","Thomas E.","Fuller","Fuller, Thomas E. #","","D","Unopposed","","","","#","","2008"
"5",6,"Alabama","AL","02","H8AL02130","","Bobby","Bright","Bright, Bobby","","D","19,456","66.64%","","","144,368","50.23%","2008"
"6",7,"Alabama","AL","02","H8AL02155","","Cendie","Crawley","Crawley, Cendie","","D","5,110","17.50%","","","","","2008"
"7",8,"Alabama","AL","02","H8AL02148","","Cheryl","Sabel","Sabel, Cheryl","","D","4,631","15.86%","","","","","2008"
"9",10,"Alabama","AL","02","H8AL02080","","Jay","Love","Love, Jay","","R","20,131","35.48%","24,725","53.11%","142,578","49.61%","2008"
"10",11,"Alabama","AL","02","H8AL02106","","Harri Anne","Smith","Smith, Harri Anne","","R","12,349","21.77%","21,827","46.89%","","","2008"
"11",12,"Alabama","AL","02","H8AL02122","","Craig D.","Schmidtke","Schmidtke, Craig D.","","R","11,350","20.01%","","","","","2008"
"12",13,"Alabama","AL","02","H4AL02048","","David","Woods","Woods, David","","R","9,757","17.20%","","","","","2008"
"13",14,"Alabama","AL","02","H8AL02114","","David","Grimes","Grimes, David","","R","2,324","4.10%","","","","","2008"
"14",15,"Alabama","AL","02","H8AL02098","","John W.","Martin","Martin, John W.","","R","824","1.45%","","","","","2008"
"18",19,"Alabama","AL","03","H2AL03032","(I)","Mike","Rogers","Rogers, Mike","","R","Unopposed","","","","142,708","54.03%","2008"
"19",20,"Alabama","AL","03","H8AL03047","","Joshua","Segall","Segall, Joshua","","D","Unopposed","","","","121,080","45.84%","2008"
"22",23,"Alabama","AL","04","H6AL04098","(I)","Robert","Aderholt","Aderholt, Robert","","R","Unopposed","","","","196,741","74.76%","2008"
"23",24,"Alabama","AL","04","H8AL04052","","Nicholas B.","Sparks","Sparks, Nicholas B.","","D","15,777","58.09%","","","66,077","25.11%","2008"
"24",25,"Alabama","AL","04","H8AL04045","","Greg","Warren","Warren, Greg","","D","11,381","41.91%","","","","","2008"
"28",29,"Alabama","AL","05","H8AL05109","","Parker","Griffith","Griffith, Parker","","D","34,543","89.92%","","","158,324","51.52%","2008"
"29",30,"Alabama","AL","05","H8AL05117","","David","Maker","Maker, David","","D","3,874","10.08%","","","","","2008"
"31",32,"Alabama","AL","05","H4AL05025","","Wayne","Parker","Parker, Wayne","","R","18,515","48.80%","16,031","78.73%","147,314","47.94%","2008"
"32",33,"Alabama","AL","05","H8AL05133","","Cheryl Baswell","Guthrie","Guthrie, Cheryl Baswell","","R","6,942","18.30%","4,330","21.27%","","","2008"
"33",34,"Alabama","AL","05","H8AL05166","","Angelo ""Doc""","Mancuso","Mancuso, Angelo ""Doc""","","R","6,161","16.24%","","","","","2008"
"34",35,"Alabama","AL","05","H8AL05091","","Ray","McKee","McKee, Ray","","R","3,342","8.81%","","","","","2008"
"35",36,"Alabama","AL","05","H8AL05141","","George C.","Barry","Barry, George C.","","R","2,274","5.99%","","","","","2008"
"36",37,"Alabama","AL","05","H8AL05158","","Mark","Huff","Huff, Mark","","R","707","1.86%","","","","","2008"
"40",41,"Alabama","AL","06","H2AL06035","(I)","Spencer","Bachus","Bachus, Spencer","","R","Unopposed","","","","280,902","97.79%","2008"
"43",44,"Alabama","AL","07","H0AL07060","(I)","Artur","Davis","Davis, Artur","","D","Unopposed","","","","228,518","98.63%","2008"
"47",48,"Alabama","AL","S","S6AL00195","(I)","Jeff","Sessions","Sessions, Jeff","","R","199,690","92.27%","","","1,305,383","63.36%","2008"
"48",49,"Alabama","AL","S","S8AL00167","","Earl Mack","Gavin","Gavin, Earl Mack","","R","16,718","7.73%","","","","","2008"
"50",51,"Alabama","AL","S","S8AL00282","","Vivian Davis","Figures","Figures, Vivian Davis","","D","112,074","63.72%","","","752,391","36.52%","2008"
"51",52,"Alabama","AL","S","S0AL00149","","Johnny, III","Swanson","Swanson, Johnny, III","","D","38,757","22.03%","","","","","2008"
"52",53,"Alabama","AL","S","S8AL00290","","Mark ""No NCAA""","Townsend","Townsend, Mark ""No NCAA""","","D","25,058","14.25%","","","","","2008"
"56",57,"Alaska","AK","00","H6AK00045","(I)","Don E.","Young","Young, Don E.","","R","48,195","45.47%","","","158,939","50.14%","2008"
"57",58,"Alaska","AK","00","H8AK00124","","Sean R.","Parnell","Parnell, Sean R.","","R","47,891","45.19%","","","","","2008"
"58",59,"Alaska","AK","00","H8AK00116","","Gabrielle","LeDoux","LeDoux, Gabrielle","","R","9,901","9.34%","","","","","2008"
"60",61,"Alaska","AK","00","H8AK00108","","Ethan A.","Berkowitz","Berkowitz, Ethan A.","","D","39,784","58.39%","","","142,560","44.97%","2008"
"61",62,"Alaska","AK","00","H6AK00144","","Diane E.","Benson","Benson, Diane E.","","D","28,347","41.61%","","","","","2008"
"63",64,"Alaska","AK","00","H6AK00094","","Don R.","Wright","Wright, Don R.","","AKI","6,690","100.00%","","","14,274","4.50%","2008"
"68",69,"Alaska","AK","S","S8AK00090","","Mark","Begich","Begich, Mark","","D","63,747","90.82%","","","151,767","47.77%","2008"
"69",70,"Alaska","AK","S","S8AK00082","","Ray","Metcalfe","Metcalfe, Ray","","D","5,480","7.81%","","","","","2008"
"70",71,"Alaska","AK","S","S0AK00097","","Frank J.","Vondersaar","Vondersaar, Frank J.","","D","965","1.37%","","","","","2008"
"72",73,"Alaska","AK","S","S2AK00010","(I)","Ted","Stevens","Stevens, Ted","","R","66,900","63.52%","","","147,814","46.52%","2008"
"73",74,"Alaska","AK","S","S6AK00078","","David W.","Cuddy","Cuddy, David W.","","R","28,364","26.93%","","","","","2008"
"74",75,"Alaska","AK","S","S8AK00124","","Vic","Vickers","Vickers, Vic","","R","6,102","5.79%","","","","","2008"
"75",76,"Alaska","AK","S","S8AK00132","","Michael D.","Corey","Corey, Michael D.","","R","1,496","1.42%","","","","","2008"
"76",77,"Alaska","AK","S","S8AK00108","","Roderic H. ""Rick""","Sikma","Sikma, Roderic H. ""Rick""","","R","1,133","1.08%","","","","","2008"
"77",78,"Alaska","AK","S","S8AK00157","","Rich M.","Wanda","Wanda, Rich M.","","R","732","0.69%","","","","","2008"
"78",79,"Alaska","AK","S","S8AK00140","","Gerald L. ""Jerry""","Heikes","Heikes, Gerald L. ""Jerry""","","R","599","0.57%","","","","","2008"
"80",81,"Alaska","AK","S","S0AK00105","","Bob","Bird","Bird, Bob","","AKI","4,216","100.00%","","","13,197","4.15%","2008"
"82",83,"Alaska","AK","S","S8AK00165","","Fredrick D. ""David""","Haase","Haase, Fredrick D. ""David""","","LBT","1,375","100.00%","","","2,483","0.78%","2008"
"84",85,"Alaska","AK","S","S4AK00115","","Ted","Gianoutsos","Gianoutsos, Ted","","NNE","n/a","","","","1,385","0.44%","2008"
"87",88,"American Samoa","AS","00","H0AS00018","(I)","Eni F. H.","Faleomavaega","Faleomavaega, Eni F. H.","","D","n/a","","","","7,499","60.38%","2008"
"88",89,"American Samoa","AS","00","H8AS00052","","Rosie F. Tago","Lancaster","Lancaster, Rosie F. Tago","","I","n/a","","","","570","4.59%","2008"
"89",90,"American Samoa","AS","00","H4AS00036","","Aumua","Amata","Amata, Aumua","","R","n/a","","","","4,350","35.03%","2008"
"92",93,"Arizona","AZ","01","H8AZ01104","","Ann","Kirkpatrick","Kirkpatrick, Ann","","D","26,734","47.24%","","","155,791","55.88%","2008"
"93",94,"Arizona","AZ","01","H8AZ01096","","Mary Kim","Titla","Titla, Mary Kim","","D","18,428","32.56%","","","","","2008"
"94",95,"Arizona","AZ","01","H8AZ01070","","Howard","Shanker","Shanker, Howard","","D","8,056","14.23%","","","","","2008"
"95",96,"Arizona","AZ","01","H8AZ01138","","Jeffrey","Brown","Brown, Jeffrey","","D","3,376","5.97%","","","","","2008"
"97",98,"Arizona","AZ","01","H2AZ01149","","Sydney","Hay","Hay, Sydney","","R","17,825","39.06%","","","109,924","39.43%","2008"
"98",99,"Arizona","AZ","01","H8AZ01179","","Sandra L. B.","Livingstone","Livingstone, Sandra L. B.","","R","15,621","34.23%","","","","","2008"
"99",100,"Arizona","AZ","01","H8AZ01187","","Tom","Hansen","Hansen, Tom","","R","7,847","17.20%","","","","","2008"
"100",101,"Arizona","AZ","01","H8AZ01195","","Barry","Hall","Hall, Barry","","R","2,743","6.01%","","","","","2008"
"101",102,"Arizona","AZ","01","H8AZ01146","","Preston","Korn","Korn, Preston","","R","1,596","3.50%","","","","","2008"
"103",104,"Arizona","AZ","01","H8AZ01120","","Brent","Maupin","Maupin, Brent","","I","n/a","n/a","","","9,394","3.37%","2008"
"104",105,"Arizona","AZ","01","H8AZ01203","","Thane","Eichenauer","Eichenauer, Thane","","W(LBT)/LBT","43","100.00%","","","3,678","1.32%","2008"
"107",108,"Arizona","AZ","02","H4AZ04024","(I)","Trent","Franks","Franks, Trent","","R","58,707","100.00%","","","200,914","59.44%","2008"
"109",110,"Arizona","AZ","02","H6AZ02155","","John","Thrasher","Thrasher, John","","D","27,711","100.00%","","","125,611","37.16%","2008"
"111",112,"Arizona","AZ","02","H4AZ02119","","Powell","Gammill","Gammill, Powell","","LBT","199","100.00%","","","7,882","2.33%","2008"
"113",114,"Arizona","AZ","02","H6AZ00027","","William","Crum","Crum, William","","GRE","118","100.00%","","","3,616","1.07%","2008"
"116",117,"Arizona","AZ","03","H4AZ04016","(I)","John","Shadegg","Shadegg, John","","R","43,538","100.00%","","","148,800","54.08%","2008"
"118",119,"Arizona","AZ","03","H8AZ03100","","Bob","Lord","Lord, Bob","","D","22,554","100.00%","","","115,759","42.07%","2008"
"120",121,"Arizona","AZ","03","H8AZ03134","","Michael","Shoen","Shoen, Michael","","LBT","228","100.00%","","","10,602","3.85%","2008"
"123",124,"Arizona","AZ","04","H2AZ02055","(I)","Ed","Pastor","Pastor, Ed","","D","18,660","100.00%","","","89,721","72.11%","2008"
"125",126,"Arizona","AZ","04","H2AZ04101","","Don","Karg","Karg, Don","","R","8,073","99.90%","","","26,435","21.25%","2008"
"126",127,"Arizona","AZ","04","H8AZ06012","","Richard","Grayson","Grayson, Richard","","W(R)","8","0.10%","","","","","2008"
"128",129,"Arizona","AZ","04","H8AZ04116","","Rebecca","DeWitt","DeWitt, Rebecca","","GRE","71","100.00%","","","4,464","3.59%","2008"
"130",131,"Arizona","AZ","04","H8AZ04124","","Joe","Cobb","Cobb, Joe","","LBT","156","100.00%","","","3,807","3.06%","2008"
"133",134,"Arizona","AZ","05","H6AZ05067","(I)","Harry","Mitchell","Mitchell, Harry","","D","25,174","100.00%","","","149,033","53.16%","2008"
"135",136,"Arizona","AZ","05","H4AZ06045","","David","Schweikert","Schweikert, David","","R","14,233","29.50%","","","122,165","43.57%","2008"
"136",137,"Arizona","AZ","05","H4AZ01061","","Susan","Bitter Smith","Bitter Smith, Susan","","R","13,212","27.38%","","","","","2008"
"137",138,"Arizona","AZ","05","H8AZ05089","","Laura","Knaperek","Knaperek, Laura","","R","7,523","15.59%","","","","","2008"
"138",139,"Arizona","AZ","05","H8AZ05113","","Mark","Anderson","Anderson, Mark","","R","6,539","13.55%","","","","","2008"
"139",140,"Arizona","AZ","05","H8AZ05071","","Jim","Ogsbury","Ogsbury, Jim","","R","6,042","12.52%","","","","","2008"
"140",141,"Arizona","AZ","05","H8AZ05121","","Lee","Gentry","Gentry, Lee","","R","706","1.46%","","","","","2008"
"142",143,"Arizona","AZ","05","H2AZ05124","","Warren","Severin","Severin, Warren","","LBT","207","100.00%","","","9,158","3.27%","2008"
"144",145,"Arizona","AZ","05","H8AZ05147","","Ralph","Hughes","Hughes, Ralph","","W","n/a","n/a","","","9","0.00%","2008"
"146",147,"Arizona","AZ","06","H0AZ01184","(I)","Jeff","Flake","Flake, Jeff","","R","51,562","100.00%","","","208,582","62.42%","2008"
"148",149,"Arizona","AZ","06","H8AZ06053","","Rebecca ","Schneider","Schneider, Rebecca ","","D","15,644","73.75%","","","115,457","34.55%","2008"
"149",150,"Arizona","AZ","06","H8AZ06046","","Chris","Gramazio","Gramazio, Chris","","D","5,568","26.25%","","","","","2008"
"151",152,"Arizona","AZ","06","H8AZ06061","","Rick","Biondi","Biondi, Rick","","LBT","175","100.00%","","","10,137","3.03%","2008"
"154",155,"Arizona","AZ","07","H2AZ07070","(I)","Raúl","Grijalva","Grijalva, Raúl","","D","30,630","100.00%","","","124,304","63.26%","2008"
"156",157,"Arizona","AZ","07","H4AZ02010","","Joseph","Sweeney","Sweeney, Joseph","","R","11,011","66.83%","","","64,425","32.79%","2008"
"157",158,"Arizona","AZ","07","H8AZ07010","","Gene","Chewning","Chewning, Gene","","R","5,464","33.17%","","","","","2008"
"159",160,"Arizona","AZ","07","H8AZ07036","","Raymond Patrick","Petrulsky","Petrulsky, Raymond Patrick","","W(LBT)/LBT","33","100.00%","","","7,755","3.95%","2008"
"161",162,"Arizona","AZ","07","H8AZ07028","","Harley","Meyer","Meyer, Harley","","W","n/a","n/a","","","5","0.00%","2008"
"163",164,"Arizona","AZ","08","H6AZ08038","(I)","Gabrielle","Giffords","Giffords, Gabrielle","","D","46,223","100.00%","","","179,629","54.72%","2008"
"165",166,"Arizona","AZ","08","H8AZ08018","","Tim","Bee","Bee, Tim","","R","52,671","100.00%","","","140,553","42.82%","2008"
"167",168,"Arizona","AZ","08","H8AZ08042","","Paul","Davis","Davis, Paul","","W(LBT)/W","40","100.00%","","","8,081","2.46%","2008"
"169",170,"Arizona","AZ","08","H6AZ08160","","Paul","Price","Price, Paul","","W","n/a","n/a","","","3","0.00%","2008"
"172",173,"Arkansas","AR","01","H6AR01072","(I)","Marion","Berry","Berry, Marion","","D","Unopposed","","","","Unopposed","","2008"
"174",175,"Arkansas","AR","02","H6AR02203","(I)","Vic","Snyder","Snyder, Vic","","D","Unopposed","","","","212,303","76.54%","2008"
"175",176,"Arkansas","AR","02","H8AR02100","","Deb","McFarland","McFarland, Deb","","GRE","","","","","64,398","23.22%","2008"
"176",177,"Arkansas","AR","02","H8AR02118","","Danial","Suits","Suits, Danial","","W","","","","","665","0.24%","2008"
"178",179,"Arkansas","AR","03","H2AR03176","(I)","John","Boozman","Boozman, John","","R","Unopposed","","","","215,196","78.53%","2008"
"179",180,"Arkansas","AR","03","H8AR03058","","Abel Noah","Tomlinson","Tomlinson, Abel Noah","","GRE","","","","","58,850","21.47%","2008"
"181",182,"Arkansas","AR","04","H0AR04038","(I)","Mike","Ross","Ross, Mike","","D","Unopposed","","","","203,178","86.17%","2008"
"182",183,"Arkansas","AR","04","H8AR04098","","Joshua","Drake","Drake, Joshua","","GRE","","","","","32,603","13.83%","2008"
"185",186,"Arkansas","AR","S","S0AR00028","(I)","Mark","Pryor","Pryor, Mark","","D","Unopposed","","","","804,678","79.53%","2008"
"186",187,"Arkansas","AR","S","S8AR00179","","Rebekah","Kennedy","Kennedy, Rebekah","","GRE","n/a","","","","207,076","20.47%","2008"
"188",189,"California","CA","01","H8CA01109","(I)","Mike","Thompson","Thompson, Mike","","D","69,622","87.71%","","","197,812","68.10%","2008"
"189",190,"California","CA","01","H8CA01166","","Mitchell","Clogg","Clogg, Mitchell","","D","9,752","12.29%","","","","","2008"
"191",192,"California","CA","01","H8CA01174","","Zane","Starkewolf","Starkewolf, Zane","","R","18,346","54.00%","","","67,853","23.36%","2008"
"192",193,"California","CA","01","H8CA01158","","Douglas","Pharr","Pharr, Douglas","","R","15,628","46.00%","","","","","2008"
"194",195,"California","CA","01","H8CA01182","","Carol","Wolman","Wolman, Carol","","GRE","2,101","100.00%","","","24,793","8.54%","2008"
"198",199,"California","CA","02","H8CA02010","(I)","Wally","Herger","Herger, Wally","","R","62,394","100.00%","","","163,459","57.89%","2008"
"200",201,"California","CA","02","H8CA02073","","Jeff","Morris","Morris, Jeff","","D","14,750","34.66%","","","118,878","42.11%","2008"
"201",202,"California","CA","02","H4CA02072","","Arjinderpal","Sekhon","Sekhon, Arjinderpal","","D","14,340","33.69%","","","","","2008"
"202",203,"California","CA","02","H8CA00085","","John","Jacobson","Jacobson, John","","D","13,470","31.65%","","","","","2008"
"205",206,"California","CA","03","H6CA34112","(I)","Dan","Lungren","Lungren, Dan","","R","50,532","100.00%","","","155,424","49.49%","2008"
"207",208,"California","CA","03","H6CA03091","","William","Durston","Durston, William","","D","37,318","100.00%","","","137,971","43.93%","2008"
"209",210,"California","CA","03","H8CA03162","","Dina J.","Padilla","Padilla, Dina J.","","PAF","83","100.00%","","","13,378","4.26%","2008"
"211",212,"California","CA","03","H8CA03154","","Douglas Arthur","Tuma","Tuma, Douglas Arthur","","LBT","347","100.00%","","","7,273","2.32%","2008"
"214",215,"California","CA","04","H8CA04152","","Tom","McClintock","McClintock, Tom","","R","51,665","53.46%","","","185,790","50.24%","2008"
"215",216,"California","CA","04","H8CA03105","","Doug","Ose","Ose, Doug","","R","37,802","39.12%","","","","","2008"
"216",217,"California","CA","04","H8CA04160","","Suzanne","Jones","Jones, Suzanne","","R","4,920","5.09%","","","","","2008"
"217",218,"California","CA","04","H8CA04145","","Theodore","Terbolizard","Terbolizard, Theodore","","R","2,249","2.33%","","","","","2008"
"219",220,"California","CA","04","H6CA04123","","Charlie","Brown","Brown, Charlie","","D","51,028","87.99%","","","183,990","49.76%","2008"
"220",221,"California","CA","04","H8CA04178","","John","Wolfgram","Wolfgram, John","","D","6,962","12.01%","","","","","2008"
"223",224,"California","CA","05","H6CA05195","(I)","Doris","Matsui","Matsui, Doris","","D","51,006","100.00%","","","164,242","74.27%","2008"
"225",226,"California","CA","05","H8CA05159","","Paul A.","Smith","Smith, Paul A.","","R","18,232","100.00%","","","46,002","20.80%","2008"
"227",228,"California","CA","05","H8CA05175","","L. R.","Roberts","Roberts, L. R.","","PAF","172","100.00%","","","10,731","4.85%","2008"
"229",230,"California","CA","05","H8CA05167","","David B.","Lynch","Lynch, David B.","","W","","","","","180","0.08%","2008"
"231",232,"California","CA","06","H2CA01045","(I)","Lynn","Woolsey","Woolsey, Lynn","","D","88,969","99.97%","","","229,672","71.69%","2008"
"232",233,"California","CA","06","H8CA06074","","Edward K.","Newman","Newman, Edward K.","","W(D)","26","0.03%","","","","","2008"
"234",235,"California","CA","06","H6CA06193","","Michael","Halliwell","Halliwell, Michael","","R","29,527","100.00%","","","77,073","24.06%","2008"
"236",237,"California","CA","06","H8CA06066","","Joel R.","Smolen","Smolen, Joel R.","","LBT","515","100.00%","","","13,617","4.25%","2008"
"239",240,"California","CA","07","H6CA07043","(I)","George","Miller","Miller, George","","D","49,260","100.00%","","","170,962","72.82%","2008"
"241",242,"California","CA","07","H8CA07049","","Roger Allen","Petersen","Petersen, Roger Allen","","R","9,658","55.77%","","","51,166","21.79%","2008"
"242",243,"California","CA","07","H8CA07031","","Virginia","Fuller-Kendall","Fuller-Kendall, Virginia","","R","7,660","44.23%","","","","","2008"
"244",245,"California","CA","07","H4CA07030","","Bill","Callison","Callison, Bill","","PAF","80","100.00%","","","6,695","2.85%","2008"
"246",247,"California","CA","07","H6CA07118","","Camden","McConnell","McConnell, Camden","","LBT","237","100.00%","","","5,950","2.53%","2008"
"249",250,"California","CA","08","H8CA05035","(I)","Nancy","Pelosi","Pelosi, Nancy","","D","83,510","89.21%","","","204,996","71.87%","2008"
"250",251,"California","CA","08","H8CA08070","","Shirley","Golub","Golub, Shirley","","D","10,105","10.79%","","","","","2008"
"252",253,"California","CA","08","H8CA08088","","Cindy","Sheehan","Sheehan, Cindy","","I","n/a","n/a","","","46,118","16.17%","2008"
"253",254,"California","CA","08","H8CA08062","","Dana","Walsh","Walsh, Dana","","R","7,903","100.00%","","","27,614","9.68%","2008"
"255",256,"California","CA","08","H6CA08173","","Philip Z.","Berg","Berg, Philip Z.","","LBT","276","100.00%","","","6,504","2.28%","2008"
"260",261,"California","CA","09","H8CA09060","(I)","Barbara","Lee","Lee, Barbara","","D","80,466","99.90%","","","238,915","86.06%","2008"
"261",262,"California","CA","09","H8CA09136","","Brad","Newsham","Newsham, Brad","","W(D)","79","0.10%","","","","","2008"
"263",264,"California","CA","09","H8CA09128","","Charles","Hargrave","Hargrave, Charles","","R","7,893","100.00%","","","26,917","9.70%","2008"
"265",266,"California","CA","09","H2CA09097","","James M.","Eyer","Eyer, James M.","","LBT","225","100.00%","","","11,704","4.22%","2008"
"270",271,"California","CA","10","H6CA10088","(I)","Ellen O.","Tauscher","Tauscher, Ellen O.","","D","55,427","100.00%","","","192,226","65.12%","2008"
"272",273,"California","CA","10","H8CA10084","","Nicholas","Gerber","Gerber, Nicholas","","R","30,324","100.00%","","","91,877","31.13%","2008"
"274",275,"California","CA","10","H8CA10092","","Eugene E.","Ruyle","Ruyle, Eugene E.","","PAF","63","100.00%","","","11,062","3.75%","2008"
"277",278,"California","CA","11","H4CA11081","(I)","Jerry","McNerney","McNerney, Jerry","","D","40,403","100.00%","","","164,500","55.27%","2008"
"279",280,"California","CA","11","H8CA11082","","Dean","Andal","Andal, Dean","","R","41,879","100.00%","","","133,104","44.72%","2008"
"283",284,"California","CA","12","H8CA12171","(I)","Jackie","Speier","Speier, Jackie","","D","60,393","89.52%","","","200,442","75.11%","2008"
"284",285,"California","CA","12","H8CA12189","","Michelle","McMurry","McMurry, Michelle","","D","3,827","5.67%","","","","","2008"
"285",286,"California","CA","12","H8CA12205","","Frank","Wade","Wade, Frank","","D","1,652","2.45%","","","","","2008"
"286",287,"California","CA","12","H6CA12159","","Robert","Barrows","Barrows, Robert","","D","1,594","2.36%","","","","","2008"
"288",289,"California","CA","12","H8CA12197","","Greg","Conlon","Conlon, Greg","","R","12,060","64.99%","","","49,258","18.46%","2008"
"289",290,"California","CA","12","H8CA12148","","Michael","Moloney","Moloney, Michael","","R","6,498","35.01%","","","","","2008"
"291",292,"California","CA","12","H8CA12221","","Nathalie","Hrizi","Hrizi, Nathalie","","PAF","90","100.00%","","","5,793","2.17%","2008"
"293",294,"California","CA","12","H4CA12089","","Barry","Hermanson","Hermanson, Barry","","GRE","633","100.00%","","","5,776","2.16%","2008"
"295",296,"California","CA","12","H8CA12213","","Kevin Dempsey","Peterson","Peterson, Kevin Dempsey","","LBT","230","100.00%","","","5,584","2.09%","2008"
"298",299,"California","CA","13","H6CA09023","(I)","Fortney","Stark","Stark, Fortney","","D","42,897","100.00%","","","166,829","76.43%","2008"
"300",301,"California","CA","13","H8CA13088","","Raymond","Chui","Chui, Raymond","","R","12,706","100.00%","","","51,447","23.57%","2008"
"303",304,"California","CA","14","H8CA12098","(I)","Anna G.","Eshoo","Eshoo, Anna G.","","D","60,856","100.00%","","","190,301","69.77%","2008"
"305",306,"California","CA","14","H8CA14169","","Ronny","Santana","Santana, Ronny","","R","22,812","100.00%","","","60,610","22.22%","2008"
"307",308,"California","CA","14","H4CA14085","","Brian","Holtz","Holtz, Brian","","LBT","524","100.00%","","","11,929","4.37%","2008"
"309",310,"California","CA","14","H6CA14098","","Carol","Brouillet","Brouillet, Carol","","GRE","784","100.00%","","","9,926","3.64%","2008"
"312",313,"California","CA","15","H0CA15148","(I)","Mike","Honda","Honda, Mike","","D","46,652","100.00%","","","170,977","71.66%","2008"
"314",315,"California","CA","15","H8CA15083","","Joyce Stoer","Cordi","Cordi, Joyce Stoer","","R","19,750","100.00%","","","55,489","23.26%","2008"
"316",317,"California","CA","15","H8CA15091","","Peter","Myers","Myers, Peter","","GRE","326","100.00%","","","12,123","5.08%","2008"
"319",320,"California","CA","16","H4CA16049","(I)","Zoe","Lofgren","Lofgren, Zoe","","D","39,616","100.00%","","","146,481","71.34%","2008"
"321",322,"California","CA","16","H6CA16127","","Charel","Winston","Winston, Charel","","R","16,836","100.00%","","","49,399","24.06%","2008"
"323",324,"California","CA","16","H8CA16057","","Steven","Wells","Wells, Steven","","LBT","255","100.00%","","","9,447","4.60%","2008"
"326",327,"California","CA","17","H4CA17021","(I)","Sam","Farr","Farr, Sam","","D","53,057","100.00%","","","168,907","73.88%","2008"
"328",329,"California","CA","17","H8CA17089","","Jeff","Taylor","Taylor, Jeff","","R","23,188","100.00%","","","59,037","25.82%","2008"
"332",333,"California","CA","18","H2CA18056","(I)","Dennis A.","Cardoza","Cardoza, Dennis A.","","D","26,392","100.00%","","","130,192","100.00%","2008"
"335",336,"California","CA","19","H2CA19054","(I)","George P.","Radanovich","Radanovich, George P.","","R","51,645","100.00%","","","179,245","98.43%","2008"
"340",341,"California","CA","20","H4CA20082","(I)","Jim","Costa","Costa, Jim","","D","22,042","100.00%","","","93,023","74.33%","2008"
"342",343,"California","CA","20","H6CA20137","","Jim","Lopez","Lopez, Jim","","R","11,257","100.00%","","","32,118","25.67%","2008"
"345",346,"California","CA","21","H8CA20059","(I)","Devin G.","Nunes","Nunes, Devin G.","","R","41,638","100.00%","","","143,498","68.39%","2008"
"347",348,"California","CA","21","H8CA21107","","Larry","Johnson","Johnson, Larry","","D","21,738","100.00%","","","66,317","31.61%","2008"
"350",351,"California","CA","22","H6CA22125","(I)","Kevin","McCarthy","McCarthy, Kevin","","R","61,915","100.00%","","","224,549","100.00%","2008"
"353",354,"California","CA","23","H8CA22089","(I)","Lois","Capps","Capps, Lois","","D","50,385","99.68%","","","171,403","68.07%","2008"
"354",355,"California","CA","23","H8CA23087","","Sandra","Marshall-Eminger","Marshall-Eminger, Sandra","","W(D)","164","0.32%","","","","","2008"
"356",357,"California","CA","23","H8CA23079","","Matt T.","Kokkonen","Kokkonen, Matt T.","","R","30,094","100.00%","","","80,385","31.93%","2008"
"359",360,"California","CA","24","H6CA21028","(I)","Elton","Gallegly","Gallegly, Elton","","R","45,124","77.04%","","","174,492","58.15%","2008"
"360",361,"California","CA","24","H6CA24279","","Michael","Tenenbaum","Tenenbaum, Michael","","R","13,446","22.96%","","","","","2008"
"362",363,"California","CA","24","H8CA24143","","Marta Ann","Jorgensen","Jorgensen, Marta Ann","","D","17,640","45.58%","","","125,560","41.85%","2008"
"363",364,"California","CA","24","H6CA24253","","Jill","Martinez","Martinez, Jill","","D","12,324","31.85%","","","","","2008"
"364",365,"California","CA","24","H6CA24246","","Mary","Pallant","Pallant, Mary","","D","8,733","22.57%","","","","","2008"
"367",368,"California","CA","25","H2CA25036","(I)","Howard P. ""Buck""","McKeon","McKeon, Howard P. ""Buck""","","R","30,937","100.00%","","","144,660","57.73%","2008"
"369",370,"California","CA","25","H8CA25058","","Jackie","Conaway","Conaway, Jackie","","D","18,054","100.00%","","","105,929","42.27%","2008"
"372",373,"California","CA","26","H8CA35032","(I)","David","Dreier","Dreier, David","","R","29,627","74.47%","","","140,615","52.64%","2008"
"373",374,"California","CA","26","H4CA26113","","Sonny","Sardo","Sardo, Sonny","","R","10,158","25.53%","","","","","2008"
"375",376,"California","CA","26","H6CA26183","","Russ","Warner","Warner, Russ","","D","17,165","67.33%","","","108,039","40.44%","2008"
"376",377,"California","CA","26","H4CA26097","","Cynthia","Matthews","Matthews, Cynthia","","D","8,327","32.67%","","","","","2008"
"378",379,"California","CA","26","H8CA26098","","Ted","Brown","Brown, Ted","","LBT","238","100.00%","","","18,476","6.92%","2008"
"381",382,"California","CA","27","H6CA24113","(I)","Brad","Sherman","Sherman, Brad","","D","25,591","100.00%","","","145,812","68.51%","2008"
"383",384,"California","CA","27","H8CA27088","","Navraj","Singh","Singh, Navraj","","R","13,354","100.00%","","","52,852","24.83%","2008"
"385",386,"California","CA","27","H8CA27096","","Tim","Denton","Denton, Tim","","LBT","196","100.00%","","","14,171","6.66%","2008"
