"","X1","STATE.ABBREVIATION","STATE","DISTRICT","FEC.ID.","incumbent","candidate.first","candidate.last","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","GE.RUNOFF.ELECTION.VOTES..LA.","GE.RUNOFF.ELECTION....LA.","COMBINED.GE.PARTY.TOTALS..CT..NY..SC.","COMBINED....CT..NY..SC.","GE.WINNER.INDICATOR","FOOTNOTES","X","X.1","year"
"536",537,"CT","Connecticut","04","H8CT04172","(I)","Jim","Himes","Himes, Jim","","D","*","","","","101,401","51.01%","","","106,873","53.76%","W","* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic conventions for candidates for the U.S. House of Representatives were held on May 14, 2014, and the Republican conventions were held on May 16, 2014.  The convention results listed on the next tab were obtained from the state parties.  An asterisk denotes the party's endorsed candidate.",NA,NA,"2014"
"537",538,"CT","Connecticut","04","H8CT04172","","Jim","Himes","Himes, Jim","","WF","","","","","5,472","2.75%","","","106,873","53.76%","W","",NA,NA,"2014"
"538",539,"CT","Connecticut","04","H0CT04146","","Dan","Debicella","Debicella, Dan","","R","*","","","","88,209","44.37%","","","91,922","46.24%","","* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic conventions for candidates for the U.S. House of Representatives were held on May 14, 2014, and the Republican conventions were held on May 16, 2014.  The convention results listed on the next tab were obtained from the state parties.  An asterisk denotes the party's endorsed candidate.",NA,NA,"2014"
"539",540,"CT","Connecticut","04","H0CT04146","","Dan","Debicella","Debicella, Dan","","IP","","","","","3,713","1.87%","","","91,922","46.24%","","",NA,NA,"2014"
"540",541,"CT","Connecticut","04","H8CT04172","","Stephen A.","Miller","Miller, Stephen A.","","W","","","","","3","0.00%","","","","","W","",NA,NA,"2014"
"541",542,"CT","Connecticut","04","H8CT04172","","Sophie E.","Pastore","Pastore, Sophie E.","","W","","","","","2","0.00%","","","","","W","",NA,NA,"2014"
"543",544,"CT","Connecticut","05","H2CT05131","(I)","Elizabeth","Esty","Esty, Elizabeth","","D","*","","","","106,256","49.82%","","","113,564","53.24%","W","* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic conventions for candidates for the U.S. House of Representatives were held on May 14, 2014, and the Republican conventions were held on May 16, 2014.  The convention results listed on the next tab were obtained from the state parties.  An asterisk denotes the party's endorsed candidate.",NA,NA,"2014"
"544",545,"CT","Connecticut","05","H2CT05131","","Elizabeth","Esty","Esty, Elizabeth","","WF","","","","","7,308","3.43%","","","113,564","53.24%","W","",NA,NA,"2014"
"545",546,"CT","Connecticut","05","H0CT05127","","John J.","Pistone","Pistone, John J.","","PC","","","","","1,970","0.92%","","","","","","",NA,NA,"2014"
"546",547,"CT","Connecticut","05","H0CT05150","","Mark","Greenberg","Greenberg, Mark","","R","*","","","","92,404","43.32%","","","97,767","45.84%","","* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic conventions for candidates for the U.S. House of Representatives were held on May 14, 2014, and the Republican conventions were held on May 16, 2014.  The convention results listed on the next tab were obtained from the state parties.  An asterisk denotes the party's endorsed candidate.",NA,NA,"2014"
"547",548,"CT","Connecticut","05","H0CT05150","","Mark","Greenberg","Greenberg, Mark","","IP","","","","","5,363","2.51%","","","97,767","45.84%","","",NA,NA,"2014"
"551",552,"DE","Delaware","00","H0DE01017","(I)","John C., Jr.","Carney","Carney, John C., Jr.","","D","Unopposed","","","","137,251","59.26%","","","","","W","",NA,NA,"2014"
"552",553,"DE","Delaware","00","H0DE01025","","Rose","Izzo","Izzo, Rose","","R","Unopposed","","","","85,146","36.76%","","","","","","",NA,NA,"2014"
"553",554,"DE","Delaware","00","H2DE00155","","Bernard","August","August, Bernard","","GRE","","","","","4,801","2.07%","","","","","","",NA,NA,"2014"
"554",555,"DE","Delaware","00","H2DE00148","","Scott","Gesty","Gesty, Scott","","LIB","*","","","","4,419","1.91%","","","","","","*  The Libertarian Party nominated by convention on March 8, 2014.  Convention nominee is noted with an asterisk.",NA,NA,"2014"
"559",560,"DC","District of Columbia","00","H0DC00058 ","(I)","Eleanor H.","Norton","Norton, Eleanor H.","","D","87,247","97.05%","","","143,923","83.73%","","","","","W","",NA,NA,"2014"
"562",563,"DC","District of Columbia","00","H4DC00092","","Nelson F.","Rimensnyder","Rimensnyder, Nelson F.","","R","1,131","89.83%","","","11,673","6.79%","","","","","","",NA,NA,"2014"
"565",566,"DC","District of Columbia","00","H4DC00076","","Timothy J.","Krepp","Krepp, Timothy J.","","IND","","","","","9,101","5.29%","","","","","","",NA,NA,"2014"
"567",568,"DC","District of Columbia","00","H8DC00143","","Natale Lino","Stracuzzi","Stracuzzi, Natale Lino","","DCG","323","79.56%","","","6,073","3.53%","","","","","","",NA,NA,"2014"
"571",572,"DC","District of Columbia","00","H4DC00068 ","","Sara Jane ","Panfil","Panfil, Sara Jane #","","LIB","30","96.77%","","","#","","","","","","","# Sara Jane Panfil withdrew after the primary election.",NA,NA,"2014"
"577",578,"FL","Florida","01","H2FL01100 ","(I)","Jeff","Miller","Miller, Jeff","","R","44,784","75.34%","","","165,086","70.15%","","","","","W","",NA,NA,"2014"
"578",579,"FL","Florida","01","H0FL00023 ","","John E.","Krause","Krause, John E.","","R","14,660","24.66%","","","","","","","","","","",NA,NA,"2014"
"580",581,"FL","Florida","01","H8FL01099 ","","Jim","Bryan","Bryan, Jim","","D","Unopposed","","","","54,976","23.36%","","","","","","",NA,NA,"2014"
"581",582,"FL","Florida","01","H4FL01155 ","","Mark","Wichern","Wichern, Mark","","NPA","","","","","15,281","6.49%","","","","","","",NA,NA,"2014"
"583",584,"FL","Florida","02","H4FL02062","","Gwen","Graham","Graham, Gwen","","D","Unopposed","","","","126,096","50.48%","","","","","W","",NA,NA,"2014"
"584",585,"FL","Florida","02","H0FL02110 ","(I)","Steve","Southerland","Southerland, Steve","","R","Unopposed","","","","123,262","49.35%","","","","","","",NA,NA,"2014"
"585",586,"FL","Florida","02","H4FL02070 ","","Luther ","Lee","Lee, Luther ","","W","","","","","422","0.17%","","","","","","",NA,NA,"2014"
"587",588,"FL","Florida","03","H2FL06109 ","(I)","Ted","Yoho","Yoho, Ted","","R","37,486","79.38%","","","148,691","64.98%","","","","","W","",NA,NA,"2014"
"588",589,"FL","Florida","03","H4FL03094","","Jake ","Rush","Rush, Jake ","","R","9,739","20.62%","","","","","","","","","","",NA,NA,"2014"
"590",591,"FL","Florida","03","H4FL03110 ","","Marihelen","Wheeler","Wheeler, Marihelen","","D","Unopposed","","","","73,910","32.30%","","","","","","",NA,NA,"2014"
"591",592,"FL","Florida","03","H4FL03102 ","","Howard Term Limits","Lawson","Lawson, Howard Term Limits","","NPA","","","","","6,208","2.71%","","","","","","",NA,NA,"2014"
"594",595,"FL","Florida","04","H0FL04066 ","(I)","Ander","Crenshaw","Crenshaw, Ander","","R","38,613","70.94%","","","177,887","78.28%","","","","","W","",NA,NA,"2014"
"595",596,"FL","Florida","04","H4FL04035 ","","Ryman","Shoaf","Shoaf, Ryman","","R","15,817","29.06%","","","","","","","","","","",NA,NA,"2014"
"597",598,"FL","Florida","04","H4FL04043 ","","Paula ","Moser-Bartlett","Moser-Bartlett, Paula ","","NPA","","","","","35,663","15.69%","","","","","","",NA,NA,"2014"
"598",599,"FL","Florida","04","H0FL04116 ","","Gary L.","Koniz","Koniz, Gary L.","","NPA","","","","","13,690","6.02%","","","","","","",NA,NA,"2014"
"599",600,"FL","Florida","04","H0FL04033","","Deborah Katz","Pueschel","Pueschel, Deborah Katz","","W","","","","","13","0.01%","","","","","","",NA,NA,"2014"
"602",603,"FL","Florida","05","H2FL03056","(I)","Corrine ","Brown","Brown, Corrine ","","D","Unopposed","","","","112,340","65.47%","","","","","W","",NA,NA,"2014"
"603",604,"FL","Florida","05","H4FL05065","","Glo","Smith","Smith, Glo","","R","10,968","62.97%","","","59,237","34.53%","","","","","","",NA,NA,"2014"
"604",605,"FL","Florida","05","H4FL05073 ","","Thuy (Twee)","Lowe","Lowe, Thuy (Twee)","","R","6,451","37.03%","","","","","","","","","","",NA,NA,"2014"
"608",609,"FL","Florida","06","H2FL00292 ","(I)","Ron","DeSantis","DeSantis, Ron","","R","Unopposed","","","","166,254","62.54%","","","","","W","",NA,NA,"2014"
"609",610,"FL","Florida","06","H4FL06022","","David","Cox","Cox, David","","D","Unopposed","","","","99,563","37.46%","","","","","","",NA,NA,"2014"
"611",612,"FL","Florida","07","H2FL08055 ","(I)","John  ","Mica","Mica, John  ","","R","32,084","72.15%","","","144,474","63.60%","","","","","W","",NA,NA,"2014"
"612",613,"FL","Florida","07","H4FL07061","","David ","Smith","Smith, David ","","R","8,316","18.70%","","","","","","","","","","",NA,NA,"2014"
"613",614,"FL","Florida","07","H4FL07103 ","","Don","Oehlrich","Oehlrich, Don","","R","2,285","5.14%","","","","","","","","","","",NA,NA,"2014"
"614",615,"FL","Florida","07","H4FL07111 ","","Kelly ","Shirley","Shirley, Kelly ","","R","1,786","4.02%","","","","","","","","","","",NA,NA,"2014"
"616",617,"FL","Florida","07","H4FL07087 ","","Wes","Neuman","Neuman, Wes","","D","Unopposed","","","","73,011","32.14%","","","","","","",NA,NA,"2014"
"617",618,"FL","Florida","07","H6FL08130","","Al","Krulick","Krulick, Al","","NPA","","","","","9,679","4.26%","","","","","","",NA,NA,"2014"
"619",620,"FL","Florida","08","H8FL15107 ","(I)","Bill","Posey","Posey, Bill","","R","Unopposed","","","","180,728","65.84%","","","","","W","",NA,NA,"2014"
"620",621,"FL","Florida","08","H4FL08085 ","","Gabriel","Rothblatt","Rothblatt, Gabriel","","D","Unopposed","","","","93,724","34.14%","","","","","","",NA,NA,"2014"
"621",622,"FL","Florida","08","H4FL08093","","Christopher L., Jr","Duncan","Duncan, Christopher L., Jr","","W","","","","","61","0.02%","","","","","","",NA,NA,"2014"
"623",624,"FL","Florida","09","H6FL08213","(I)","Alan","Grayson","Grayson, Alan","","D","18,641","74.32%","","","93,850","53.97%","","","","","W","",NA,NA,"2014"
"624",625,"FL","Florida","09","H0FL24171","","Nick","Ruiz","Ruiz, Nick","","D","6,441","25.68%","","","","","","","","","","",NA,NA,"2014"
"626",627,"FL","Florida","09","H4FL09083 ","","Carol ","Platt","Platt, Carol ","","R","11,542","54.61%","","","74,963","43.11%","","","","","","",NA,NA,"2014"
"627",628,"FL","Florida","09","H4FL09109 ","","Jorge ","Bonilla","Bonilla, Jorge ","","R","6,293","29.77%","","","","","","","","","","",NA,NA,"2014"
"628",629,"FL","Florida","09","H4FL09117 ","","Peter","Vivaldi","Vivaldi, Peter","","R","3,301","15.62%","","","","","","","","","","",NA,NA,"2014"
"630",631,"FL","Florida","09","H4FL09133","","Marko","Milakovich","Milakovich, Marko","","NPA","","","","","5,060","2.91%","","","","","","",NA,NA,"2014"
"631",632,"FL","Florida","09","H4FL09141 ","","Leon Leo","Ray","Ray, Leon Leo","","W","","","","","5","0.00%","","","","","","",NA,NA,"2014"
"633",634,"FL","Florida","10","H0FL08208 ","(I)","Daniel ","Webster","Webster, Daniel ","","R","Unopposed","","","","143,128","61.54%","","","","","W","",NA,NA,"2014"
"634",635,"FL","Florida","10","H4FL09091","","Michael","McKenna","McKenna, Michael","","D","11,912","49.73%","","","89,426","38.45%","","","","","","",NA,NA,"2014"
"635",636,"FL","Florida","10","H4FL10099 ","","Shayan","Modarres","Modarres, Shayan","","D","7,324","30.58%","","","","","","","","","","",NA,NA,"2014"
"636",637,"FL","Florida","10","H4FL10107","","William","Ferree","Ferree, William","","D","4,718","19.70%","","","","","","","","","","",NA,NA,"2014"
"638",639,"FL","Florida","10","H4FL10115","","David B.","Falstad","Falstad, David B.","","W","","","","","20","0.01%","","","","","","",NA,NA,"2014"
"640",641,"FL","Florida","11","H0FL05139 ","(I)","Richard B. ""Rich""","Nugent","Nugent, Richard B. ""Rich""","","R","Unopposed","","","","181,508","66.66%","","","","","W","",NA,NA,"2014"
"641",642,"FL","Florida","11","H4FL11071","","Dave ","Koller","Koller, Dave ","","D","Unopposed","","","","90,786","33.34%","","","","","","",NA,NA,"2014"
"643",644,"FL","Florida","12","H6FL09070 ","(I)","Gus Michael","Bilirakis","Bilirakis, Gus Michael","","R","Unopposed","","","","Unopposed","","","","","","W","",NA,NA,"2014"
"645",646,"FL","Florida","13","H4FL13101","(I)","David W.","Jolly","Jolly, David W.","","R","Unopposed","","","","168,172","75.22%","","","","","W","",NA,NA,"2014"
"646",647,"FL","Florida","13","H4FL13077","","Lucas","Overby","Overby, Lucas","","LBF","Unopposed","","","","55,318","24.74%","","","","","","",NA,NA,"2014"
"647",648,"FL","Florida","13","H4FL13150 ","","Michael Stephen","Levinson","Levinson, Michael Stephen","","W","","","","","86","0.04%","","","","","","",NA,NA,"2014"
"649",650,"FL","Florida","14","H6FL11126 ","(I)","Kathy ","Castor","Castor, Kathy ","","D","Unopposed","","","","Unopposed","","","","","","W","",NA,NA,"2014"
"651",652,"FL","Florida","15","H0FL12101","(I)","Dennis A.","Ross","Ross, Dennis A.","","R","Unopposed","","","","128,750","60.28%","","","","","W","",NA,NA,"2014"
"652",653,"FL","Florida","15","H4FL15155 ","","Alan M.","Cohn","Cohn, Alan M.","","D","Unopposed","","","","84,832","39.72%","","","","","","",NA,NA,"2014"
"654",655,"FL","Florida","16","H6FL13148 ","(I)","Vern","Buchanan","Buchanan, Vern","","R","Unopposed","","","","169,126","61.54%","","","","","W","",NA,NA,"2014"
"655",656,"FL","Florida","16","H4FL16146 ","","Henry ","Lawrence","Lawrence, Henry ","","D","Unopposed","","","","105,483","38.38%","","","","","","",NA,NA,"2014"
"656",657,"FL","Florida","16","H4FL16153","","Joe","Newman","Newman, Joe","","W","","","","","220","0.08%","","","","","","",NA,NA,"2014"
"658",659,"FL","Florida","17","H8FL16022","(I)","Tom","Rooney","Rooney, Tom","","R","Unopposed","","","","141,493","63.24%","","","","","W","",NA,NA,"2014"
"659",660,"FL","Florida","17","H2FL00300 ","","Will","Bronson","Bronson, Will","","D","Unopposed","","","","82,263","36.76%","","","","","","",NA,NA,"2014"
"661",662,"FL","Florida","18","H2FL22072","(I)","Patrick ","Murphy","Murphy, Patrick ","","D","Unopposed","","","","151,478","59.78%","","","","","W","",NA,NA,"2014"
"662",663,"FL","Florida","18","H4FL18068 ","","Carl J.","Domino","Domino, Carl J.","","R","15,805","38.36%","","","101,896","40.22%","","","","","","",NA,NA,"2014"
"663",664,"FL","Florida","18","H4FL18043 ","","Alan ","Schlesinger","Schlesinger, Alan ","","R","9,920","24.08%","","","","","","","","","","",NA,NA,"2014"
"664",665,"FL","Florida","18","H4FL18084 ","","Beverly ","Hires","Hires, Beverly ","","R","5,760","13.98%","","","","","","","","","","",NA,NA,"2014"
"665",666,"FL","Florida","18","H4FL18100","","Brian ","Lara","Lara, Brian ","","R","5,361","13.01%","","","","","","","","","","",NA,NA,"2014"
"666",667,"FL","Florida","18","H4FL18076 ","","Calvin D.","Turnquest","Turnquest, Calvin D.","","R","2,757","6.69%","","","","","","","","","","",NA,NA,"2014"
"667",668,"FL","Florida","18","H4FL18092 ","","Nick","Wukoson","Wukoson, Nick","","R","1,594","3.87%","","","","","","","","","","",NA,NA,"2014"
"670",671,"FL","Florida","19","H4FL19074 ","(I)","Curt ","Clawson","Clawson, Curt ","","R","Unopposed","","","","159,354","64.55%","","","","","W","",NA,NA,"2014"
"671",672,"FL","Florida","19","H4FL19058","","April","Freeman","Freeman, April","","D","Unopposed","","","","80,824","32.74%","","","","","","",NA,NA,"2014"
"672",673,"FL","Florida","19","H0FL02136","","Ray ","Netherwood","Netherwood, Ray ","","LBF","Unopposed","","","","6,671","2.70%","","","","","","",NA,NA,"2014"
"673",674,"FL","Florida","19","H4FL19082","","Timothy J.","Rossano","Rossano, Timothy J.","","W","","","","","12","0.00%","","","","","","",NA,NA,"2014"
"675",676,"FL","Florida","20","H2FL23021","(I)","Alcee L.","Hasting","Hastings, Alcee L.","","D","29,236","79.20%","","","128,498","81.60%","","","","","W","",NA,NA,"2014"
"676",677,"FL","Florida","20","H4FL20056","","Jean L.","Enright","Enright, Jean L.","","D","5,256","14.24%","","","","","","","","","","",NA,NA,"2014"
"677",678,"FL","Florida","20","H4FL20072","","Jameel","McCline","McCline, Jameel","","D","2,424","6.57%","","","","","","","","","","",NA,NA,"2014"
"679",680,"FL","Florida","20","H4FL20064","","Jay","Bonner","Bonner, Jay","","R","Unopposed","","","","28,968","18.40%","","","","","","",NA,NA,"2014"
"682",683,"FL","Florida","21","H0FL19080","(I)","Ted","Deutch","Deutch, Ted","","D","31,080","91.61%","","","153,395","99.63%","","","","","W","",NA,NA,"2014"
"683",684,"FL","Florida","21","H4FL21054  ","","Emmanuel G.","Morel","Morel, Emmanuel G.","","D","2,845","8.39%","","","","","","","","","","",NA,NA,"2014"
"685",686,"FL","Florida","21","H2FL21066","","W. Michael","Trout","Trout, W. Michael","","W","","","","","575","0.37%","","","","","","",NA,NA,"2014"
"688",689,"FL","Florida","22","H2FL14053","(I)","Lois","Frankel","Frankel, Lois","","D","Unopposed","","","","125,404","58.03%","","","","","W","",NA,NA,"2014"
"689",690,"FL","Florida","22","H4FL22110 ","","Paul","Spain","Spain, Paul","","R","7,492","42.61%","","","90,685","41.97%","","","","","","",NA,NA,"2014"
"690",691,"FL","Florida","22","H4FL22086","","Andrea Leigh","McGee","McGee, Andrea Leigh","","R","6,073","34.54%","","","","","","","","","","",NA,NA,"2014"
"691",692,"FL","Florida","22","H2FL22114 ","","David","Wagie","Wagie, David","","R","4,017","22.85%","","","","","","","","","","",NA,NA,"2014"
"693",694,"FL","Florida","22","H4FL22102 ","","Raymond","Schamis","Schamis, Raymond","","W","","","","","7","0.00%","","","","","","",NA,NA,"2014"
"696",697,"FL","Florida","23","H4FL20023","(I)","Debbie Wasserman","Schultz","Schultz, Debbie Wasserman","","D","Unopposed","","","","103,269","62.67%","","","","","W","",NA,NA,"2014"
"697",698,"FL","Florida","23","H2FL20043 ","","Joseph ""Joe""","Kaufman","Kaufman, Joseph ""Joe""","","R","6,299","62.60%","","","61,519","37.33%","","","","","","",NA,NA,"2014"
"698",699,"FL","Florida","23","H4FL23076 ","","Juan ","Garcia","Garcia, Juan ","","R","3,764","37.40%","","","","","","","","","","",NA,NA,"2014"
"702",703,"FL","Florida","24","H0FL17068 ","(I)","Frederica S.","Wilson","Wilson, Frederica S.","","D","35,456","80.43%","","","129,192","86.18%","","","","","W","",NA,NA,"2014"
"703",704,"FL","Florida","24","H4FL24017","","Michael A.","Etienne","Etienne, Michael A.","","D","8,628","19.57%","","","","","","","","","","",NA,NA,"2014"
"705",706,"FL","Florida","24","H6FL17032 ","","Dufirstson Julio ","Neree","Neree, Dufirstson Julio ","","R","Unopposed","","","","15,239","10.16%","","","","","","",NA,NA,"2014"
"706",707,"FL","Florida","24","H4FL24025","","Luis E.","Fernandez","Fernandez, Luis E.","","NPA","","","","","5,487","3.66%","","","","","","",NA,NA,"2014"
"709",710,"FL","Florida","25","H2FL25018","(I)","Mario","Diaz-Balart","Diaz-Balart, Mario","","R","Unopposed","","","","Unopposed","","","","","","W","",NA,NA,"2014"
"712",713,"FL","Florida","26","H4FL26038 ","","Carlos ","Curbelo","Curbelo, Carlos ","","R","13,861","47.01%","","","83,031","51.46%","","","","","W","",NA,NA,"2014"
"713",714,"FL","Florida","26","H4FL26012 ","","Ed","MacDougall","MacDougall, Ed","","R","7,455","25.28%","","","","","","","","","","",NA,NA,"2014"
"714",715,"FL","Florida","26","H4FL26061 ","","Joe A.","Martinez","Martinez, Joe A.","","R","5,136","17.42%","","","","","","","","","","",NA,NA,"2014"
"715",716,"FL","Florida","26","H0FL25038 ","","David","Rivera","Rivera, David","","R","2,209","7.49%","","","","","","","","","","",NA,NA,"2014"
"716",717,"FL","Florida","26","H4FL26046 ","","Lorenzo Palomares","Starbuck","Starbuck, Lorenzo Palomares","","R","824","2.79%","","","","","","","","","","",NA,NA,"2014"
"718",719,"FL","Florida","26","H8FL25015","(I)","Joe","Garcia","Garcia, Joe","","D","Unopposed","","","","78,306","48.54%","","","","","","",NA,NA,"2014"
"720",721,"FL","Florida","27","H0FL18025","(I)","Ileana ","Ros-Lehtinen","Ros-Lehtinen, Ileana ","","R","Unopposed","","","","Unopposed","","","","","","W","",NA,NA,"2014"
"724",725,"GA","Georgia","01","H4GA01039","","E. L. ""Buddy""","Carter","Carter, E. L. ""Buddy""","","R","18,971","36.22%","22,871","53.81%","95,337","60.91%","","","","","W","",NA,NA,"2014"
"725",726,"GA","Georgia","01","H4GA01054","","Robert E. ""Bob""","Johnson","Johnson, Robert E. ""Bob""","","R","11,890","22.70%","19,632","46.19%","","","","","","","","",NA,NA,"2014"
"726",727,"GA","Georgia","01","H4GA01096","","John A.","McCallum","McCallum, John A.","","R","10,715","20.46%","","","","","","","","","","",NA,NA,"2014"
"727",728,"GA","Georgia","01","H4GA01070","","J. L. ""Jeff""","Chapman","Chapman, J. L. ""Jeff""","","R","6,918","13.21%","","","","","","","","","","",NA,NA,"2014"
"728",729,"GA","Georgia","01","H4GA01088","","Darwin","Carter","Carter, Darwin","","R","2,819","5.38%","","","","","","","","","","",NA,NA,"2014"
"729",730,"GA","Georgia","01","H4GA01138","","Earl T.","Martin","Martin, Earl T.","","R","1,063","2.03%","","","","","","","","","","",NA,NA,"2014"
"731",732,"GA","Georgia","01","H4GA01120","","Brian Corwin","Reese","Reese, Brian Corwin","","D","6,122","33.81%","6,531","63.09%","61,175","39.09%","","","","","","",NA,NA,"2014"
"732",733,"GA","Georgia","01","H4GA01112","","Amy L.","Tavio","Tavio, Amy L.","","D","6,148","33.96%","3,821","36.91%","","","","","","","","",NA,NA,"2014"
"733",734,"GA","Georgia","01","H4GA01104","","Marc Anthony","Smith","Smith, Marc Anthony","","D","5,836","32.23%","","","","","","","","","","",NA,NA,"2014"
"737",738,"GA","Georgia","02","H2GA02031","(I)","Sanford D.","Bishop","Bishop, Sanford D.","","D","39,941","100.00%","","","96,363","59.15%","","","","","W","",NA,NA,"2014"
"739",740,"GA","Georgia","02","H4GA02060","","Gregory P. ""Greg""","Duke","Duke, Gregory P. ""Greg""","","R","16,468","69.43%","","","66,537","40.85%","","","","","","",NA,NA,"2014"
"740",741,"GA","Georgia","02","H4GA02078","","Vivian L.","Childs","Childs, Vivian L.","","R","7,252","30.57%","","","","","","","","","","",NA,NA,"2014"
"744",745,"GA","Georgia","03","H4GA08067","(I)","Lynn Acton","Westmoreland","Westmoreland, Lynn Acton","","R","37,106","69.49%","","","156,277","100.00%","","","","","W","",NA,NA,"2014"
"745",746,"GA","Georgia","03","H0GA13099","","C. E. ""Chip""","Flanagan","Flanagan, C. E. ""Chip""","","R","16,294","30.51%","","","","","","","","","","",NA,NA,"2014"
"749",750,"GA","Georgia","04","H6GA04129","(I)","Henry C. ""Hank,"" Jr.","Johnson","Johnson, Henry C. ""Hank,"" Jr.","","D","26,514","54.75%","","","161,211","99.93%","","","","","W","",NA,NA,"2014"
"750",751,"GA","Georgia","04","H4GA04116","","Thomas E. ""Tom""","Brown","Brown, Thomas E. ""Tom""","","D","21,909","45.25%","","","","","","","","","","",NA,NA,"2014"
"752",753,"GA","Georgia","04","H4GA04058","","Raymond L.","Davis","Davis, Raymond L.","","W","","","","","109","0.07%","","","","","","",NA,NA,"2014"
"755",756,"GA","Georgia","05","H6GA05217","(I)","John R.","Lewis","Lewis, John R.","","D","48,001","100.00%","","","170,326","100.00%","","","","","W","",NA,NA,"2014"
"759",760,"GA","Georgia","06","H4GA06087","(I)","Thomas E. ""Tom""","Price","Price, Thomas E. ""Tom""","","R","44,074","100.00%","","","139,018","66.04%","","","","","W","",NA,NA,"2014"
"761",762,"GA","Georgia","06","H2GA06107","","Robert G.","Montigel","Montigel, Robert G.","","D","11,493","100.00%","","","71,486","33.96%","","","","","","",NA,NA,"2014"
"765",766,"GA","Georgia","07","H0GA07133","(I)","William Robert ""Rob""","Woodall","Woodall, William Robert ""Rob""","","R","33,804","100.00%","","","113,557","65.39%","","","","","W","",NA,NA,"2014"
"767",768,"GA","Georgia","07","H4GA04124","","Thomas Dee","Wight","Wight, Thomas Dee","","D","7,141","100.00%","","","60,112","34.61%","","","","","","",NA,NA,"2014"
"771",772,"GA","Georgia","08","H0GA08099","(I)","James Austin","Scott","Scott, James Austin","","R","36,073","100.00%","","","129,938","99.91%","","","","","W","",NA,NA,"2014"
"773",774,"GA","Georgia","08","H8GA08035","","Ronald L.","Cain","Cain, Ronald L.","","W","","","","","119","0.09%","","","","","","",NA,NA,"2014"
"776",777,"GA","Georgia","09","H2GA09150","(I)","Douglas Allen ""Doug""","Collins","Collins, Douglas Allen ""Doug""","","R","49,951","80.22%","","","146,059","80.67%","","","","","W","",NA,NA,"2014"
"777",778,"GA","Georgia","09","H4GA09065","","Bernard A. ""Bernie""","Fontaine","Fontaine, Bernard A. ""Bernie""","","R","12,315","19.78%","","","","","","","","","","",NA,NA,"2014"
"779",780,"GA","Georgia","09","H4GA09057","","David Donald","Vogel","Vogel, David Donald","","D","6,415","100.00%","","","34,988","19.33%","","","","","","",NA,NA,"2014"
"783",784,"GA","Georgia","10","H0GA07125","","Jody B.","Hice","Hice, Jody B.","","R","17,408","33.50%","26,975","54.32%","130,703","66.52%","","","","","W","",NA,NA,"2014"
"784",785,"GA","Georgia","10","H4GA10071","","M. A. ""Mike""","Collins","Collins, M. A. ""Mike""","","R","17,143","32.99%","22,684","45.68%","","","","","","","","",NA,NA,"2014"
"785",786,"GA","Georgia","10","H4GA10055","","Donna H.","Sheldon","Sheldon, Donna H.","","R","7,972","15.34%","","","","","","","","","","",NA,NA,"2014"
"786",787,"GA","Georgia","10","H4GA10063","","Gary","Gerrard","Gerrard, Gary","","R","3,830","7.37%","","","","","","","","","","",NA,NA,"2014"
"787",788,"GA","Georgia","10","H2GA10117","","Stephen K.","Simpson","Simpson, Stephen K.","","R","2,423","4.66%","","","","","","","","","","",NA,NA,"2014"
"788",789,"GA","Georgia","10","H4GA10105","","S. Mitchell","Swan","Swan, S. Mitchell","","R","2,167","4.17%","","","","","","","","","","",NA,NA,"2014"
"789",790,"GA","Georgia","10","H4GA10097","","Brian Richard","Slowinski","Slowinski, Brian Richard","","R","1,027","1.98%","","","","","","","","","","",NA,NA,"2014"
"791",792,"GA","Georgia","10","H4GA10089","","Ivory Kenneth ""Ken""","Dious","Dious, Ivory Kenneth ""Ken""","","D","15,965","100.00%","","","65,777","33.48%","","","","","","",NA,NA,"2014"
"795",796,"GA","Georgia","11","H4GA11061","","Barry D.","Loudermilk","Loudermilk, Barry D.","","R","20,862","36.59%","34,667","66.07%","161,532","100.00%","","","","","W","",NA,NA,"2014"
"796",797,"GA","Georgia","11","H4GA11053","","R. L. ""Bob""","Barr","Barr, R. L. ""Bob""","","R","14,704","25.79%","17,807","33.93%","","","","","","","","",NA,NA,"2014"
